Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2022-05-16;38,9506;1.0;m³/s;1;1;41340000;ANA
2022-05-17;37,2488;1.0;m³/s;1;1;41340000;ANA
2022-05-18;42,4281;1.0;m³/s;1;1;41340000;ANA
2022-05-19;41,5496;1.0;m³/s;1;1;41340000;ANA
2022-05-20;35,8499;1.0;m³/s;1;1;41340000;ANA
2022-05-21;35,5722;1.0;m³/s;1;1;41340000;ANA
2022-05-22;36,9677;1.0;m³/s;1;1;41340000;ANA
2022-05-23;37,2488;1.0;m³/s;1;1;41340000;ANA
2022-05-24;35,5722;1.0;m³/s;1;1;41340000;ANA
2022-05-25;37,2488;1.0;m³/s;1;1;41340000;ANA
2022-05-26;39,2366;1.0;m³/s;1;1;41340000;ANA
2022-05-27;36,1283;1.0;m³/s;1;1;41340000;ANA
2022-05-28;36,6872;1.0;m³/s;1;1;41340000;ANA
2022-05-29;36,1283;1.0;m³/s;1;1;41340000;ANA
2022-05-30;35,5722;1.0;m³/s;1;1;41340000;ANA
2022-05-31;35,019;1.0;m³/s;1;1;41340000;ANA
2022-04-01;0.0;37,8133;m³/s;1;1;41340000;ANA
2022-04-02;47,214;;m³/s;1;1;41340000;ANA
2022-04-03;67,6117;;m³/s;1;1;41340000;ANA
2022-04-04;64,216;;m³/s;1;1;41340000;ANA
2022-04-05;54,3813;;m³/s;1;1;41340000;ANA
2022-04-06;51,2243;;m³/s;1;1;41340000;ANA
2022-04-07;46,6066;;m³/s;1;1;41340000;ANA
2022-04-08;49,0516;;m³/s;1;1;41340000;ANA
2022-04-09;46,3039;;m³/s;1;1;41340000;ANA
2022-04-10;49,9789;;m³/s;1;1;41340000;ANA
2022-04-11;58,9041;;m³/s;1;1;41340000;ANA
2022-04-12;51,8507;;m³/s;1;1;41340000;ANA
2022-04-13;47,5187;;m³/s;1;1;41340000;ANA
2022-04-14;46,6066;;m³/s;1;1;41340000;ANA
2022-04-15;49,9789;;m³/s;1;1;41340000;ANA
2022-04-16;48,4365;;m³/s;1;1;41340000;ANA
2022-04-17;47,5187;;m³/s;1;1;41340000;ANA
2022-04-18;45,0995;;m³/s;1;1;41340000;ANA
